state,poverty_pct_value,poverty_pct_influence,poverty_pct_weighted_influence,literacy_pct_value,literacy_pct_influence,literacy_pct_weighted_influence,symptomatic_no_care_pct_value,symptomatic_no_care_pct_influence,symptomatic_no_care_pct_weighted_influence,private_first_provider_pct_value,private_first_provider_pct_influence,private_first_provider_pct_weighted_influence,bact_confirmed_pct_value,bact_confirmed_pct_influence,bact_confirmed_pct_weighted_influence,crowding_index_value,crowding_index_influence,crowding_index_weighted_influence,in_ratio_value,in_ratio_influence,in_ratio_weighted_influence,pn_ratio_value,pn_ratio_influence,pn_ratio_weighted_influence
Andhra Pradesh,17.136153846153846,4,8.333333333333332,59.77334542575791,5,11.5,23.303076923076915,1,1.5,3.1919989360420296,1,1.0,95.5621680053003,2,4.166666666666667,3.304582544181683,2,2.833333333333333,1.0174156250450528,1,1.5,0.0009879174991263,0,0
Arunachal Pradesh,47.719,4,8.333333333333332,55.35810170647822,5,11.5,15.46950000000001,1,1.5,2.5228747739121182,1,1.0,74.75057559478128,2,4.166666666666667,3.6805165443132246,2,2.833333333333333,1.0287229341581972,1,1.5,0.0004953848690357,0,0
Assam,60.08030303030304,4,8.333333333333332,61.45689155040753,5,11.5,29.896666666666675,1,1.5,1.8107768546663108,1,1.0,89.43403746512556,2,4.166666666666667,3.438819294015331,2,2.833333333333333,1.0333478355449206,1,1.5,0.0005499643972681,0,0
Bihar,63.64236842105263,4,8.333333333333332,50.43691584466746,5,11.5,50.52789473684211,1,1.5,0.7703929595603167,1,1.0,84.23115654066461,2,4.166666666666667,4.44590652852993,2,2.833333333333333,1.0214445364885354,1,1.5,0.000439406641677,0,0
Chandigarh,4.189999999999998,4,8.333333333333332,76.31228385996495,5,11.5,15.019999999999996,1,1.5,22.56382240663344,1,1.0,77.96523517382413,2,4.166666666666667,3.537422033938069,2,2.833333333333333,1.0214964172637893,1,1.5,0.0001424921415508,0,0
Chhattisgarh,71.74444444444444,4,8.333333333333332,60.20670499402666,5,11.5,27.20037037037038,1,1.5,2.149951269830135,1,1.0,89.13350946014464,2,4.166666666666667,3.756818583908764,2,2.833333333333333,1.042435374517166,1,1.5,0.0005590337189649,0,0
Dadra And Nagar Haveli,,4,8.333333333333332,64.94738281511395,5,11.5,,1,1.5,3.3727696423154354,1,1.0,,2,4.166666666666667,3.159583758491676,2,2.833333333333333,,1,1.5,,0,0
Daman And Diu,,4,8.333333333333332,77.45460375667531,5,11.5,,1,1.5,4.060981440914499,1,1.0,,2,4.166666666666667,2.704878292875491,2,2.833333333333333,,1,1.5,,0,0
Goa,3.5349999999999966,4,8.333333333333332,79.9075105670377,5,11.5,12.045000000000002,1,1.5,12.446625111432546,1,1.0,75.47997805814592,2,4.166666666666667,2.529640189946963,2,2.833333333333333,1.068181818181818,1,1.5,0.000688619672488,0,0
Gujarat,40.15787878787879,4,8.333333333333332,67.99068069374013,5,11.5,28.27,1,1.5,4.371500162919146,1,1.0,91.56522128784596,2,4.166666666666667,3.4489607698685747,2,2.833333333333333,1.0373094579856443,1,1.5,0.0004139845477606,0,0
Haryana,42.17181818181818,4,8.333333333333332,65.47546646422207,5,11.5,14.969090909090909,1,1.5,5.902913766463017,1,1.0,88.27249323387683,2,4.166666666666667,3.576669495858357,2,2.833333333333333,1.030961091610224,1,1.5,0.0002538565772847,0,0
Himachal Pradesh,46.35333333333333,4,8.333333333333332,73.41628837330991,5,11.5,19.1075,1,1.5,2.0829931726991138,1,1.0,88.16806286122475,2,4.166666666666667,2.339942249672168,2,2.833333333333333,1.052175795626759,1,1.5,0.0004013497730455,0,0
Jammu And Kashmir,36.718,4,8.333333333333332,56.35166906912856,5,11.5,26.2385,1,1.5,2.124412259631394,1,1.0,86.17114742575997,2,4.166666666666667,3.4801838811510164,2,2.833333333333333,1.0238149585330594,1,1.5,0.00077308099021,0,0
Jharkhand,71.95875,4,8.333333333333332,55.55958090869887,5,11.5,44.69625,1,1.5,2.2668836830218653,1,1.0,90.14886453657248,2,4.166666666666667,4.231399995356613,2,2.833333333333333,1.021712783572026,1,1.5,0.0004562081277331,0,0
Karnataka,23.919333333333327,4,8.333333333333332,66.5310162908284,5,11.5,25.404,1,1.5,5.095742190178091,1,1.0,87.38270709999597,2,4.166666666666667,3.394359296199036,2,2.833333333333333,1.0556521999940014,1,1.5,0.0007422941524764,0,0
Kerala,29.780714285714296,4,8.333333333333332,84.2237101824127,5,11.5,1.402142857142863,1,1.5,5.931857013993676,1,1.0,83.26199046599864,2,4.166666666666667,2.9779371328898674,2,2.833333333333333,1.0884396715097917,1,1.5,0.0015542774493113,0,0
Ladakh,24.224999999999994,4,8.333333333333332,,5,11.5,57.68,1,1.5,,1,1.0,78.35365853658537,2,4.166666666666667,,2,2.833333333333333,1.0192307692307692,1,1.5,,0,0
Lakshadweep,40.57,4,8.333333333333332,81.51164053169543,5,11.5,0.2000000000000028,1,1.5,3.963845212315224,1,1.0,92.3076923076923,2,4.166666666666667,3.03516618020902,2,2.833333333333333,1.0666666666666669,1,1.5,0.0034822784562085,0,0
Madhya Pradesh,62.43607843137255,4,8.333333333333332,59.00186114469107,5,11.5,35.83529411764705,1,1.5,2.3053271183592114,1,1.0,87.676371279712,2,4.166666666666667,3.9260359733242702,2,2.833333333333333,1.033336352930519,1,1.5,0.0003807290982085,0,0
Maharashtra,,4,8.333333333333332,72.5737700262924,5,11.5,,1,1.5,5.142339108629963,1,1.0,88.75668377778533,2,4.166666666666667,3.3474867352351203,2,2.833333333333333,1.0301280778395552,1,1.5,0.0004519582208932,0,0
Maharastra,26.519722222222228,4,8.333333333333332,,5,11.5,28.353611111111107,1,1.5,,1,1.0,,2,4.166666666666667,,2,2.833333333333333,,1,1.5,,0,0
Manipur,40.97777777777777,4,8.333333333333332,66.8282095977511,5,11.5,28.65222222222222,1,1.5,3.2008446400115416,1,1.0,71.8873909595559,2,4.166666666666667,4.681905817392502,2,2.833333333333333,1.028966709900562,1,1.5,0.0010002950512257,0,0
Meghalaya,73.34545454545454,4,8.333333333333332,60.16419893025995,5,11.5,16.620909090909095,1,1.5,1.8785335989033456,1,1.0,85.46628088137102,2,4.166666666666667,4.112300354693978,2,2.833333333333333,1.042174320524836,1,1.5,0.0005631884813894,0,0
Mizoram,24.31125,4,8.333333333333332,77.30316822912015,5,11.5,5.855000000000004,1,1.5,6.325923891460151,1,1.0,72.86052009456266,2,4.166666666666667,4.072307937839373,2,2.833333333333333,1.047708138447147,1,1.5,0.0004157740205542,0,0
Nagaland,66.51090909090908,4,8.333333333333332,67.85103072930934,5,11.5,11.786363636363632,1,1.5,2.483421403230394,1,1.0,78.19656488549617,2,4.166666666666667,3.702120413753873,2,2.833333333333333,1.0251012145748988,1,1.5,0.0004326384933168,0,0
Puducherry,8.592500000000001,4,8.333333333333332,,5,11.5,11.829999999999998,1,1.5,,1,1.0,76.70869276708693,2,4.166666666666667,,2,2.833333333333333,1.0301305657850686,1,1.5,,0,0
Punjab,25.27727272727272,4,8.333333333333332,67.42929419668246,5,11.5,13.503181818181815,1,1.5,6.921002461055169,1,1.0,82.29951656476611,2,4.166666666666667,3.535332956055645,2,2.833333333333333,1.0372349125006814,1,1.5,0.000408454766404,0,0
Rajasthan,61.69818181818182,4,8.333333333333332,55.8368413272501,5,11.5,31.427575757575767,1,1.5,2.476005290918918,1,1.0,89.08299958569258,2,4.166666666666667,3.793291868286156,2,2.833333333333333,1.0207830500883326,1,1.5,0.0003454675352769,0,0
Sikkim,27.537499999999994,4,8.333333333333332,72.8740191654779,5,11.5,12.632499999999991,1,1.5,2.9706192093336963,1,1.0,81.83347350714887,2,4.166666666666667,3.6124114020660034,2,2.833333333333333,1.030247479376719,1,1.5,0.0004534115367877,0,0
Tamil Nadu,20.504375,4,8.333333333333332,71.84981419193555,5,11.5,28.428124999999994,1,1.5,5.068723364001318,1,1.0,88.7277422131368,2,4.166666666666667,3.114252983838325,2,2.833333333333333,1.0492602575621444,1,1.5,0.0007002270861468,0,0
Tripura,59.295,4,8.333333333333332,76.34312370148808,5,11.5,28.39125,1,1.5,1.1982794416902638,1,1.0,80.52554744525547,2,4.166666666666667,3.4436633382168096,2,2.833333333333333,1.04775458570525,1,1.5,0.0009413353134657,0,0
Uttar Pradesh,52.928133333333335,4,8.333333333333332,57.2524972318902,5,11.5,31.024,1,1.5,2.064393550731803,1,1.0,92.28460978315584,2,4.166666666666667,4.423323772858598,2,2.833333333333333,1.0224732055708403,1,1.5,0.0002556759211476,0,0
Uttarakhand,51.53,4,8.333333333333332,68.22083873835896,5,11.5,17.7023076923077,1,1.5,3.700674763034927,1,1.0,90.02492794266573,2,4.166666666666667,2.981102497184793,2,2.833333333333333,1.0299575821845175,1,1.5,0.0003094843475011,0,0
West Bengal,60.709,4,8.333333333333332,67.41991702867722,5,11.5,32.8775,1,1.5,1.5821121725840115,1,1.0,87.07438355462142,2,4.166666666666667,3.60152862356604,2,2.833333333333333,1.0465763288819063,1,1.5,0.0008068134378021,0,0
andaman & nicobar islands,29.96666666666667,4,8.333333333333332,77.32414387475991,5,11.5,13.613333333333344,1,1.5,3.59908240691724,1,1.0,75.61475409836066,2,4.166666666666667,2.686296100229398,2,2.833333333333333,1.0222984562607205,1,1.5,0.000528877905627,0,0
dadra & nagar haveli and daman & diu,16.10000000000001,4,8.333333333333332,,5,11.5,26.720000000000013,1,1.5,,1,1.0,88.19951338199513,2,4.166666666666667,,2,2.833333333333333,1.0034100596760442,1,1.5,,0,0
delhi,1.0927272727272737,4,8.333333333333332,75.87450420513153,5,11.5,18.91545454545455,1,1.5,16.650479692458347,1,1.0,77.76429767306432,2,4.166666666666667,3.645150475892699,2,2.833333333333333,1.0147915776387864,1,1.5,0.0001320957680941,0,0
odisha,67.66733333333333,4,8.333333333333332,63.71195527692738,5,11.5,40.35833333333333,1,1.5,1.5919968856818092,1,1.0,92.58302340124412,2,4.166666666666667,3.289739044181137,2,2.833333333333333,1.0384550891509698,1,1.5,0.0006335831510834,0,0
puducherry,,4,8.333333333333332,76.71034085418282,5,11.5,,1,1.5,8.19692834259882,1,1.0,,2,4.166666666666667,3.2163820009845385,2,2.833333333333333,,1,1.5,,0,0
telangana,9.6351612903226,4,8.333333333333332,,5,11.5,25.381935483870976,1,1.5,,1,1.0,92.1761442441054,2,4.166666666666667,,2,2.833333333333333,1.0131120136866438,1,1.5,,0,0
