state_ut,children_under_5_years_who_are_stunted_(height-for-age)18_(%),children_under_5_years_who_are_underweight_(weight-for-age)18_(%),children_under_5_years_who_are_wasted_(weight-for-height)18_(%),children_age_6-59_months_who_are_anaemic_(<11.0_g/dl)22_(%),men_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),women_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),men_age_15_years_and_above_who_consume_alcohol_(%),population_living_in_households_that_use_an_improved_sanitation_facility2_(%),households_using_clean_fuel_for_cooking3_(%),source_dataset
Andaman & Nicobar Islands,23.24,28.276666666666667,18.426666666666662,37.13333333333333,66.00666666666667,43.27666666666667,47.52,86.38666666666666,70.03333333333333,nfhs
Andhra Pradesh,30.383846153846157,28.766153846153845,16.096153846153847,63.46692307692308,22.41692307692308,4.178461538461539,23.354615384615386,76.69692307692308,82.86384615384615,nfhs
Arunachal Pradesh,26.74,14.117,13.357499999999998,56.618,49.3705,18.157,53.023,84.53049999999999,52.281000000000006,nfhs
Assam,35.69181818181818,31.59454545454545,20.69,69.80787878787878,52.94212121212121,22.315151515151516,28.83242424242424,70.10333333333332,39.919696969696965,nfhs
Bihar,42.58289473684211,41.72026315789474,24.240263157894734,70.07973684210526,48.85026315789474,4.785,15.945263157894736,49.47210526315789,36.35763157894737,nfhs
Chandigarh,25.3,20.56,8.41,54.58,12.06,0.56,18.63,84.98,95.81,nfhs
Chhattisgarh,35.67333333333334,33.218148148148146,19.08185185185185,68.99259259259259,45.7925925925926,21.00777777777778,37.85333333333333,72.79962962962962,28.25555555555556,nfhs
Dadra And Nagar Haveli & Daman And Diu,35.45333333333333,33.28666666666667,21.153333333333336,73.35000000000001,36.803333333333335,2.4133333333333336,27.96333333333333,73.27999999999999,83.89999999999999,nfhs
Goa,26.24,23.44,19.53,52.6,18.055,2.58,37.465,87.955,96.465,nfhs
Gujarat,38.65272727272727,40.32909090909092,26.133333333333333,79.83757575757575,44.21333333333333,9.74969696969697,6.304242424242425,71.73,59.842121212121214,nfhs
Haryana,26.538636363636364,20.905454545454543,11.539545454545454,69.61727272727272,29.09363636363636,2.5309090909090908,15.90318181818182,85.03090909090909,57.82818181818182,nfhs
Himachal Pradesh,31.54083333333333,24.674166666666665,16.103333333333335,59.94,33.4525,1.82,33.73583333333333,80.8925,53.64666666666667,nfhs
Jammu & Kashmir,26.141,21.0795,19.231,73.18350000000001,39.812,4.0015,7.6855,73.7615,63.282,nfhs
Jharkhand,40.1775,40.38916666666667,23.09583333333333,68.21208333333333,48.594166666666666,9.093333333333334,37.38583333333333,55.30375,28.04125,nfhs
Karnataka,34.574666666666666,31.295333333333332,19.22533333333333,64.56,27.721666666666668,9.673333333333334,16.942,74.596,76.08066666666667,nfhs
Kerala,23.275714285714287,19.36428571428572,15.051428571428572,38.294285714285714,18.032857142857143,2.7235714285714288,20.669285714285717,98.59785714285714,70.2192857142857,nfhs
Ladakh,30.395,20.365,17.46,91.665,35.74,3.1450000000000005,23.735,42.32,75.775,nfhs
Lakshadweep,32.02,25.78,17.35,43.08,28.49,17.53,0.44,99.8,59.43,nfhs
Madhya Pradesh,34.66274509803922,31.944117647058825,18.22078431372549,67.36980392156863,47.10803921568628,10.558235294117647,17.701176470588234,64.16470588235295,37.56392156862745,nfhs
Maharastra,35.10638888888889,36.4375,25.787777777777777,70.3375,37.8175,11.943888888888887,15.079722222222223,71.6463888888889,73.48027777777777,nfhs
Manipur,24.61333333333333,13.746666666666666,9.934444444444445,41.964444444444446,60.89888888888889,42.27444444444445,37.376666666666665,71.34777777777778,59.02222222222223,nfhs
Meghalaya,42.99818181818182,25.439090909090908,13.696363636363635,41.93,59.27,27.866363636363637,34.480909090909094,83.3790909090909,26.654545454545453,nfhs
Mizoram,29.2875,13.29125,10.03875,46.025,73.76375,62.62875,25.36,94.145,75.68875,nfhs
Nagaland,33.15636363636364,26.536363636363635,18.10363636363636,42.97363636363636,49.054545454545455,12.466363636363637,23.389090909090907,88.21363636363637,33.48909090909091,nfhs
Nct Of Delhi,30.70181818181818,22.12454545454545,11.717272727272729,69.16272727272727,26.334545454545456,2.307272727272727,21.62454545454545,81.08454545454545,98.90727272727273,nfhs
Odisha,31.645333333333333,30.244,18.46433333333333,64.65066666666667,51.3,25.421333333333333,29.66333333333333,59.641666666666666,32.33266666666667,nfhs
Puducherry,28.8975,21.0225,11.6475,52.06,14.12,2.2575000000000003,25.4275,88.17,91.4075,nfhs
Punjab,25.388181818181817,17.657727272727275,10.803181818181818,69.69636363636363,13.336363636363636,0.3613636363636364,23.65909090909091,86.49681818181818,74.72272727272728,nfhs
Rajasthan,31.734848484848484,28.39636363636364,18.03757575757576,72.19909090909091,43.22575757575758,7.376969696969697,11.453939393939397,68.57242424242423,38.30181818181818,nfhs
Sikkim,24.8725,13.6725,11.9575,56.69,41.3725,11.4275,42.1025,87.3675,72.4625,nfhs
Tamil Nadu,25.3128125,22.245625,14.8434375,57.436875,20.825,5.3528125,26.0003125,71.571875,79.495625,nfhs
Telangana,33.16548387096775,32.76387096774194,22.126129032258063,70.19225806451612,24.063870967741934,6.311290322580645,45.49870967741936,74.61806451612902,90.3648387096774,nfhs
Tripura,32.975,26.1625,18.9075,65.855,57.80125,51.23125,33.01,71.60875,40.705,nfhs
Uttar Pradesh,39.6256,32.3128,17.687466666666666,66.39479999999999,45.2372,8.690933333333334,14.3244,68.976,47.071866666666665,nfhs
Uttarakhand,27.27846153846154,19.166153846153847,12.460769230769232,56.47384615384616,37.49846153846154,4.4569230769230765,30.81615384615385,82.2976923076923,48.47,nfhs
West Bengal,33.175,32.695,21.33,69.777,48.117,12.105,18.6885,67.1225,39.291,nfhs
